Confirmed,Deaths,States,Recovered,Date,Id
4491,137,Rhode Island,217,18-Apr,44
4248,119,South Carolina,2633,18-Apr,45
1542,7,South Dakota,552,18-Apr,46
6589,142,Tennessee,3234,18-Apr,47
18704,476,Texas,4806,18-Apr,48
2917,25,Utah,565,18-Apr,49
803,38,Vermont,15,18-Apr,50
53,3,Virgin Islands,46,18-Apr,78
8053,258,Virginia,1228,18-Apr,51
11776,613,Washington,,18-Apr,53
785,16,West Virginia,255,18-Apr,54
4199,212,Wisconsin,,18-Apr,55
309,2,Wyoming,206,18-Apr,56
4888,157,Alabama,,19-Apr,1
319,9,Alaska,153,19-Apr,2
0,0,American Samoa,,19-Apr,60
4933,184,Arizona,994,19-Apr,4
1781,39,Arkansas,721,19-Apr,5
31431,1177,California,,19-Apr,6
9730,420,Colorado,,19-Apr,8
17962,1127,Connecticut,,19-Apr,9
2538,67,Delaware,466,19-Apr,10
2793,96,District of Columbia,622,19-Apr,11
26314,774,Florida,,19-Apr,12
18301,687,Georgia,,19-Apr,13
136,5,Guam,112,19-Apr,66
580,10,Hawaii,410,19-Apr,15
1668,44,Idaho,520,19-Apr,16
30357,1290,Illinois,,19-Apr,17
11211,562,Indiana,,19-Apr,18
2902,75,Iowa,1171,19-Apr,19
1905,93,Kansas,,19-Apr,20
2960,146,Kentucky,1174,19-Apr,21
23928,1296,Louisiana,,19-Apr,22
867,34,Maine,393,19-Apr,23
12847,461,Maryland,914,19-Apr,24
38077,1706,Massachusetts,,19-Apr,25
31424,2391,Michigan,3237,19-Apr,26
2356,134,Minnesota,1160,19-Apr,27
4274,159,Mississippi,,19-Apr,28
5743,199,Missouri,,19-Apr,29
433,10,Montana,243,19-Apr,30
1474,28,Nebraska,,19-Apr,31
3728,158,Nevada,,19-Apr,32
1390,38,New Hampshire,513,19-Apr,33
85301,4362,New Jersey,,19-Apr,34
1845,55,New Mexico,465,19-Apr,35
247815,18298,New York,23887,19-Apr,36
6601,200,North Carolina,,19-Apr,37
585,9,North Dakota,189,19-Apr,38
14,2,Northern Mariana Islands,9,19-Apr,69
11602,471,Ohio,,19-Apr,39
2567,140,Oklahoma,1575,19-Apr,40
1910,74,Oregon,,19-Apr,41
32902,1276,Pennsylvania,,19-Apr,42
1213,62,Puerto Rico,,19-Apr,72
4706,150,Rhode Island,244,19-Apr,44
4377,120,South Carolina,2633,19-Apr,45
1635,7,South Dakota,646,19-Apr,46
7070,148,Tennessee,3344,19-Apr,47
19260,490,Texas,5334,19-Apr,48
3069,27,Utah,679,19-Apr,49
813,38,Vermont,15,19-Apr,50
53,3,Virgin Islands,48,19-Apr,78
8542,277,Virginia,1267,19-Apr,51
12255,636,Washington,,19-Apr,53
890,18,West Virginia,265,19-Apr,54
4346,220,Wisconsin,,19-Apr,55
313,2,Wyoming,227,19-Apr,56
5079,163,Alabama,,20-Apr,1
321,9,Alaska,161,20-Apr,2
0,0,American Samoa,,20-Apr,60
5068,191,Arizona,1155,20-Apr,4
1973,41,Arkansas,749,20-Apr,5
33686,1225,California,,20-Apr,6
9730,420,Colorado,,20-Apr,8
19815,1331,Connecticut,,20-Apr,9
2745,72,Delaware,495,20-Apr,10
2927,105,District of Columbia,630,20-Apr,11
27059,822,Florida,,20-Apr,12
19407,775,Georgia,,20-Apr,13
136,5,Guam,112,20-Apr,66
584,10,Hawaii,414,20-Apr,15
1672,45,Idaho,585,20-Apr,16
31513,1349,Illinois,,20-Apr,17
11688,577,Indiana,,20-Apr,18
3159,79,Iowa,1235,20-Apr,19
2048,102,Kansas,,20-Apr,20
3050,154,Kentucky,1174,20-Apr,21
24523,1328,Louisiana,,20-Apr,22
875,35,Maine,414,20-Apr,23
13684,582,Maryland,917,20-Apr,24
38077,1706,Massachusetts,,20-Apr,25
32000,2468,Michigan,3237,20-Apr,26
2470,143,Minnesota,1202,20-Apr,27
4512,169,Mississippi,,20-Apr,28
5890,200,Missouri,,20-Apr,29
433,10,Montana,243,20-Apr,30
1648,33,Nebraska,,20-Apr,31
3830,159,Nevada,,20-Apr,32
1447,42,New Hampshire,521,20-Apr,33
88722,4496,New Jersey,,20-Apr,34
1971,58,New Mexico,487,20-Apr,35
253060,18611,New York,23887,20-Apr,36
6895,218,North Carolina,,20-Apr,37
627,9,North Dakota,189,20-Apr,38
14,2,Northern Mariana Islands,11,20-Apr,69
12919,509,Ohio,,20-Apr,39
2680,143,Oklahoma,1614,20-Apr,40
1957,75,Oregon,,20-Apr,41
33914,1348,Pennsylvania,,20-Apr,42
1252,63,Puerto Rico,,20-Apr,72
5090,155,Rhode Island,267,20-Apr,44
4446,123,South Carolina,2063,20-Apr,45
1685,7,South Dakota,709,20-Apr,46
7238,152,Tennessee,3575,20-Apr,47
19751,507,Texas,5706,20-Apr,48
3213,28,Utah,776,20-Apr,49
816,38,Vermont,15,20-Apr,50
53,3,Virgin Islands,48,20-Apr,78
8990,300,Virginia,1324,20-Apr,51
