Province_State,Confirmed,Deaths,Recovered,date
Hubei,68128,4512,63494,18-Apr
Hunan,1019,4,1015,18-Apr
Inner Mongolia,193,1,104,18-Apr
Isle of Man,297,6,180,18-Apr
Jiangsu,653,0,643,18-Apr
Jiangxi,937,1,936,18-Apr
Jilin,102,1,97,18-Apr
Liaoning,146,2,142,18-Apr
Macau,45,0,17,18-Apr
Manitoba,253,5,0,18-Apr
Martinique,158,8,73,18-Apr
Mayotte,254,4,117,18-Apr
Montserrat,11,0,2,18-Apr
New Brunswick,117,0,0,18-Apr
New Caledonia,18,0,14,18-Apr
New South Wales,2926,26,1379,18-Apr
Newfoundland and Labrador,257,3,0,18-Apr
Ningxia,75,0,75,18-Apr
Northern Territory,28,0,9,18-Apr
Northwest Territories,5,0,0,18-Apr
Nova Scotia,649,7,0,18-Apr
Ontario,11013,564,0,18-Apr
Prince Edward Island,26,0,0,18-Apr
Qinghai,18,0,18,18-Apr
Quebec,17521,688,0,18-Apr
Queensland,1015,6,738,18-Apr
Recovered,0,0,10964,18-Apr
Recovered,0,0,64840,18-Apr
Reunion,407,0,237,18-Apr
Saint Barthelemy,6,0,5,18-Apr
Saint Pierre and Miquelon,1,0,0,18-Apr
Saskatchewan,313,4,0,18-Apr
Shaanxi,256,3,252,18-Apr
Shandong,787,7,765,18-Apr
Shanghai,628,7,512,18-Apr
Shanxi,197,0,135,18-Apr
Sichuan,561,3,553,18-Apr
Sint Maarten,64,9,12,18-Apr
South Australia,435,4,331,18-Apr
St Martin,37,2,19,18-Apr
Tasmania,180,7,67,18-Apr
Tianjin,189,3,173,18-Apr
Tibet,1,0,1,18-Apr
Turks and Caicos Islands,11,1,0,18-Apr
Victoria,1319,14,1172,18-Apr
Western Australia,541,7,340,18-Apr
Xinjiang,76,3,73,18-Apr
Yukon,9,0,0,18-Apr
Yunnan,184,2,177,18-Apr
Zhejiang,1268,1,1246,18-Apr
Grand Princess,13,0,0,18-Apr
Alabama,4888,157,,19-Apr
Alaska,319,9,153,19-Apr
American Samoa,0,0,,19-Apr
Arizona,4933,184,994,19-Apr
Arkansas,1781,39,721,19-Apr
California,31431,1177,,19-Apr
Colorado,9730,420,,19-Apr
Connecticut,17962,1127,,19-Apr
Delaware,2538,67,466,19-Apr
Diamond Princess,49,0,0,19-Apr
District of Columbia,2793,96,622,19-Apr
Florida,26314,774,,19-Apr
Georgia,18301,687,,19-Apr
Grand Princess,103,0,0,19-Apr
Guam,136,5,112,19-Apr
Hawaii,580,10,410,19-Apr
Idaho,1668,44,520,19-Apr
Illinois,30357,1290,,19-Apr
Indiana,11211,562,,19-Apr
Iowa,2902,75,1171,19-Apr
Kansas,1905,93,,19-Apr
Kentucky,2960,146,1174,19-Apr
Louisiana,23928,1296,,19-Apr
Maine,867,34,393,19-Apr
Maryland,12847,461,914,19-Apr
Massachusetts,38077,1706,,19-Apr
Michigan,31424,2391,3237,19-Apr
Minnesota,2356,134,1160,19-Apr
Mississippi,4274,159,,19-Apr
Missouri,5743,199,,19-Apr
Montana,433,10,243,19-Apr
Nebraska,1474,28,,19-Apr
Nevada,3728,158,,19-Apr
New Hampshire,1390,38,513,19-Apr
New Jersey,85301,4362,,19-Apr
New Mexico,1845,55,465,19-Apr
New York,247815,18298,23887,19-Apr
North Carolina,6601,200,,19-Apr
North Dakota,585,9,189,19-Apr
Northern Mariana Islands,14,2,9,19-Apr
Ohio,11602,471,,19-Apr
Oklahoma,2567,140,1575,19-Apr
Oregon,1910,74,,19-Apr
Pennsylvania,32902,1276,,19-Apr
Puerto Rico,1213,62,,19-Apr
Rhode Island,4706,150,244,19-Apr
South Carolina,4377,120,2633,19-Apr
South Dakota,1635,7,646,19-Apr
Tennessee,7070,148,3344,19-Apr
Texas,19260,490,5334,19-Apr
Utah,3069,27,679,19-Apr
Vermont,813,38,15,19-Apr
Virgin Islands,53,3,48,19-Apr
Virginia,8542,277,1267,19-Apr
Washington,12255,636,,19-Apr
West Virginia,890,18,265,19-Apr
